"TIMESTAMP","RECORD","FC_mass","FC_QC","FC_samples","LE","LE_QC","LE_samples","H","H_QC","H_samples","NETRAD","G","SG","energy_closure","poor_enrg_clsur","Bowen_ratio","TAU","TAU_QC","USTAR","TSTAR","TKE","TA_1_1_1","RH_1_1_1","T_DP_1_1_1","e_amb","e_sat_amb","TA_1_1_2","RH_1_1_2","T_DP_1_1_2","e","e_sat","TA_1_1_3","RH_1_1_3","T_DP_1_1_3","e_probe","e_sat_probe","H2O_density_probe","PA","VPD","TA_1_1_4","Ux","Ux_SIGMA","Uy","Uy_SIGMA","Uz","Uz_SIGMA","T_SONIC","T_SONIC_SIGMA","sonic_azimuth","WS","WS_RSLT","WD_SONIC","WD_SIGMA","WD","WS_MAX","CO2_density","CO2_density_SIGMA","H2O_density","H2O_density_SIGMA","CO2_sig_strgth_Min","H2O_sig_strgth_Min","P","ALB","SW_IN","SW_OUT","LW_IN","LW_OUT","T_nr","R_LW_in_meas","R_LW_out_meas","sun_azimuth","sun_elevation","hour_angle","sun_declination","air_mass_coeff","daytime","TS_1_1_1","TS_1_1_2","SWC_1_1_1","SWC_1_1_2","TS_CS65X_1_1_1","TS_CS65X_1_1_2","cs65x_ec_1_1_1","cs65x_ec_1_1_2","G_plate_1_1_1","G_plate_1_1_2","G_1_1_1","G_1_1_2","SG_1_1_1","SG_1_1_2","FETCH_MAX","FETCH_90","FETCH_55","FETCH_40","UPWND_DIST_INTRST","FP_DIST_INTRST","FP_EQUATION"
"TS","RN","mg m-2 s-1","Grade","samples","W m-2","Grade","samples","W m-2","grade","samples","W m-2","W m-2","W m-2","fraction","","fraction","kg m-1 s-2","grade","m s-1","deg C","m2 s-2","deg C","%","deg C","kPa","kPa","deg C","%","deg C","kPa","kPa","deg C","%","deg C","kPa","kPa","g/m^3","kPa","hPa","deg C","m s-1","m s-1","m s-1","m s-1","m s-1","m s-1","deg C","deg C","Decimal degrees","m s-1","m s-1","decimal degrees","decimal degrees","decimal degrees","m s-1","mg m-3","mg m-3","g m-3","g m-3","fraction","fraction","mm","%","W m-2","W m-2","W m-2","W m-2","Klvin","W m-2","W m-2","decimal degrees","decimal degrees","decimal degrees","decimal degrees","adimensional","fraction","deg C","deg C","%","%","deg C","deg C","dS m-1","dS m-1","W m-2","W m-2","W m-2","W m-2","","","m","m","m","m","m","%","authors"
"","","Smp","Smp","Tot","Smp","Smp","Tot","Smp","Smp","Tot","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Avg","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Min","Min","Tot","Smp","Avg","Smp","Smp","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Tot","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2026-02-24 01:00:00",2007,0.005767227,9,36000,0.06365188,9,36000,-5.120605,9,36000,-75.28502,-25.47238,-7.99995,0.1015195,"FALSE",-80.44704,0.004222465,9,0.06262252,0.07539205,0.504506,1.741519,68.08556,-3.514876,0.4732762,0.6956177,2.653783,64.04346,-3.470591,0.4748476,0.7428297,1.802682,68.17154,-3.437543,0.4760851,0.6987097,3.751924,85.14488,2.679821,1.82306,-1.692589,0.8609628,-0.8944471,0.5057133,0.03104307,0.1095859,3.144508,0.6135393,227,1.997042,1.914391,207.8541,16.47838,19.14587,4.361178,699.4324,2.049203,3.73068,0.03924424,0.944494,0.9265929,0,0,-3.485464,0.1662473,247.7657,319.399,273.9628,-71.74699,-0.1136788,188.6772,-61.04921,9.093801,-9.420659,"NAN",0,4.622375,2.47859,4.619033,1.643027,4.044425,3.080678,0.03680833,0.03113542,-18.71383,-16.23103,-25.27634,-25.66842,-6.562515,-9.437387,122.3721,5454.935,699.6958,394.1784,266.4175,29.00989,"KormannMeixner"
"2026-02-24 02:00:00",2008,-0.01861942,8,36000,0.2951491,8,36000,5.443255,8,36000,-73.60423,-24.62298,-6.406372,-0.1171551,"FALSE",18.44239,0.01886225,7,0.1320671,-0.0378361,0.3129075,0.4295844,75.10225,-3.467117,0.4749629,0.632947,1.261462,70.96336,-3.426512,0.476408,0.672337,0.4327174,74.82864,-3.51191,0.4734512,0.6330576,3.749859,85.09106,1.95929,0.460156,-2.328332,0.361277,-0.5234492,0.6993748,0.03365592,0.07854185,1.751658,0.5632012,227,2.487252,2.386444,192.6705,16.30701,34.32953,4.160035,701.8618,2.43263,3.761907,0.03159647,0.9443203,0.9263172,0,0,-3.445746,0.118283,244.393,314.4332,272.8865,-70.13146,-0.09126218,28.03665,-58.24099,-165.4046,-9.405307,"NAN",0,4.224627,1.924157,4.557178,4.237731,3.654102,2.62282,0.03623333,0.03063319,-19.43591,-16.9973,-26.10947,-23.13649,-6.67356,-6.139185,48.26323,493.9475,123.9853,86.75858,266.4175,79.31815,"KormannMeixner"
"2026-02-24 03:00:00",2009,0.000627405,8,36000,1.947807,8,36000,5.731112,8,36000,-72.76199,-25.06979,-7.706506,-0.16101,"FALSE",2.942341,0.0131687,7,0.1102231,-0.04762655,0.2315535,-0.2901641,77.37996,-3.769454,0.4643742,0.6009393,0.4834575,73.3726,-3.731677,0.4656934,0.6358324,-0.3070231,77.05019,-3.841137,0.4619239,0.6002175,3.668407,85.05085,1.70139,-0.3309122,-2.69917,0.3737459,-0.5362935,0.5618095,0.01557411,0.08826753,0.9614738,0.6781701,227,2.808597,2.75193,191.2376,11.50551,35.76239,3.850352,703.2996,2.47037,3.687682,0.0566898,0.9441893,0.926301,0,0,-3.517066,0.02330536,242.495,311.7166,272.2917,-69.29974,-0.07812688,50.27228,-50.76615,-150.4032,-9.389838,"NAN",0,3.845062,1.388932,4.560767,4.979444,3.298249,2.180934,0.03570361,0.0301475,-17.6873,-17.03928,-24.17887,-25.96072,-6.491573,-8.921439,67.99257,581.7017,161.3617,115.3967,266.4175,73.4655,"KormannMeixner"
"2026-02-24 04:00:00",2010,0.02629273,7,36000,-0.03856657,7,36000,-13.95683,7,36000,-68.91843,-19.56545,-5.347427,0.2835775,"FALSE",361.8893,0.01617293,7,0.1220466,0.1045731,0.2378934,-0.9782613,80.10876,-3.973044,0.4573212,0.5711874,-0.1883021,75.86002,-3.934441,0.4586509,0.6053261,-1.011891,80.10548,-4.003173,0.4563596,0.5697168,3.633643,84.97393,1.466752,-0.9928173,-2.700552,0.4330543,-0.6221828,0.5227759,0.02874103,0.1222952,0.2817553,0.533922,227,2.822687,2.77129,192.9741,10.93014,34.02591,4.259862,703.7961,2.843687,3.640899,0.05136461,0.9441233,0.9262158,0,0,-3.092984,0.5194114,242.9875,308.2935,271.5393,-65.36867,-0.06262636,66.05675,-40.74128,-135.4014,-9.374485,"NAN",0,3.521711,0.9691469,4.533934,4.968597,2.975045,1.770009,0.03526931,0.02967361,-15.18178,-13.25426,-21.499,-17.6319,-6.317217,-4.377637,61.85804,3345.881,320.0949,185.495,266.4175,50.19556,"KormannMeixner"
"2026-02-24 05:00:00",2011,-0.0006945357,9,36000,2.725723,9,36000,-9.687612,9,36000,-70.68113,-15.24212,-3.741263,0.1255774,"FALSE",-3.554144,0.02002301,9,0.1360248,0.06534046,0.4155129,-0.4066052,77.44197,-3.871968,0.4608475,0.5959784,0.4019863,73.26466,-3.83251,0.4622149,0.6322933,-0.4535807,77.89413,-3.836178,0.4621845,0.593823,3.672384,84.86784,1.700784,-0.4118899,-2.810934,0.4330738,-0.3749683,0.7844803,0.03369921,0.1675214,0.8772836,0.7764869,227,2.939724,2.835832,187.5982,15.22727,39.40179,4.648874,700.0864,3.394463,3.661183,0.06958181,0.9441524,0.926148,0,0,-3.119361,0.6295312,243.8608,310.793,272.0886,-67.0039,-0.07165554,77.96986,-29.52644,-120.4,-9.35902,"NAN",0,3.200235,0.8619809,4.480421,4.929903,2.692444,1.48753,0.03489444,0.02933653,-13.88742,-9.114299,-19.0167,-11.46754,-5.129281,-2.353245,50.79654,2084.996,234.7993,140.336,266.4175,58.32579,"KormannMeixner"
"2026-02-24 06:00:00",2012,0.009033101,9,36000,-0.9494205,9,36000,-8.948614,9,36000,-69.90692,-12.82381,-2.017429,0.1733969,"FALSE",9.425344,0.006753908,9,0.07896368,0.1038892,0.2209853,-0.9468117,76.65038,-4.530358,0.438527,0.5725215,-0.06955887,72.14391,-4.487693,0.4399424,0.6105499,-0.9484981,76.88651,-4.488153,0.4399782,0.5724141,3.50241,84.78529,1.706074,-0.8990138,-2.373235,0.4605801,-0.08668818,0.4727996,0.004625326,0.07935393,0.3824323,0.5155782,227,2.418319,2.374811,182.0919,10.86457,44.90808,3.842238,700.8312,2.156362,3.490885,0.04526893,0.9441628,0.9262272,0,0,-3.279052,0.1088529,241.8359,308.3549,271.5555,-66.59542,-0.0764022,87.92737,-17.82154,-105.3986,-9.343564,"NAN",0,3.030389,0.7759791,4.423163,4.933389,2.453414,1.340392,0.03458236,0.02917125,-12.87304,-8.73972,-15.36516,-10.28246,-2.492123,-1.542735,114.3981,5450.42,652.0217,367.6848,266.4175,30.94539,"KormannMeixner"
"2026-02-24 07:00:00",2013,0.001843163,9,36000,-1.950249,9,36000,5.039834,9,36000,-69.45405,-12.43573,-2.336212,-0.05418583,"FALSE",-2.5842,0.02444825,7,0.1503035,-0.03076654,0.6111777,-0.756874,76.08826,-4.46499,0.44077,0.5817397,0.03952398,72.10565,-4.426285,0.4420649,0.617425,-0.7958634,76.10184,-4.489083,0.4403156,0.5799415,3.502783,84.75583,1.753601,-0.7886286,-1.386391,0.9384607,-0.4442984,0.5782604,0.03458614,0.08521663,0.4940884,1.293474,227,1.665769,1.455838,197.7692,28.75515,29.23077,3.293523,700.4716,5.441986,3.506141,0.075212,0.9442686,0.9263088,0,1.483335,-2.658458,0.2214831,241.2559,307.83,271.441,-66.66324,-0.08913179,97.12872,-5.974285,-90.39664,-9.328236,"NAN",0.02083333,2.849486,0.6564951,4.479936,4.937027,2.231008,1.190002,0.03433569,0.02898416,-12.29389,-7.905142,-15.17073,-9.700726,-2.87684,-1.795584,21.30772,259.5562,59.05309,40.48839,266.4175,90.28757,"KormannMeixner"
"2026-02-24 08:00:00",2014,-0.01414418,8,36000,1.502045,8,36000,6.688474,8,36000,-23.26927,-15.03288,-5.109908,-0.9944306,"FALSE",4.452912,0.004729862,8,0.06604054,-0.0927311,0.2767257,-1.122992,78.50393,-4.398321,0.4430401,0.5661207,-0.411016,74.73989,-4.363644,0.4441939,0.5964202,-1.251612,78.98027,-4.432182,0.4420989,0.5604922,3.522947,84.79389,1.522263,-1.200294,-1.672932,0.5540152,-0.8422993,0.4898207,0.02893591,0.08120511,0.0447569,0.9499563,227,1.950333,1.87301,206.7245,16.12809,20.27545,3.020744,700.959,4.463738,3.528885,0.0928051,0.9441631,0.9262002,0,21.71384,54.79567,10.65397,239.9301,307.341,271.3245,-67.46732,-0.05634753,106.4261,5.641238,-75.39532,-9.312725,10.22472,1,2.611605,0.5474619,4.452713,4.939819,2.030439,1.052138,0.03414722,0.02886361,-11.74959,-8.096354,-19.96375,-10.10201,-8.214162,-2.005653,51.53955,333.5892,108.1524,79.93092,266.4175,85.96587,"KormannMeixner"
"2026-02-24 09:00:00",2015,-0.02580029,8,36000,22.1067,8,36000,30.71615,8,36000,170.6557,-5.959146,3.577071,0.2990851,"FALSE",1.38945,0.04005015,7,0.1932327,-0.1470943,0.277732,2.248667,70.53918,-2.600173,0.5067977,0.7241108,2.607621,68.84669,-2.582616,0.5074638,0.7429647,1.773178,72.43541,-2.692677,0.5033197,0.6998668,3.966704,84.81961,2.355009,1.87822,-2.538033,0.5074574,-1.163686,0.4968265,0.07135049,0.2260851,3.13409,1.399502,227,2.828456,2.792096,204.6314,9.18379,22.36862,4.824984,695.7522,3.701027,3.987323,0.09773568,0.944472,0.9265509,0,19.53228,315.3741,61.77413,247.2307,330.175,276.2105,-82.96224,-0.01788264,116.5792,16.50135,-60.39374,-9.297328,3.013441,1,2.139658,0.6310129,4.433193,4.939986,1.888354,0.9763948,0.0340225,0.02885916,-10.30487,-8.767568,-15.56377,3.645478,-5.258904,12.41305,34.5875,306.1042,83.38179,59.33761,266.4175,88.02216,"KormannMeixner"
"2026-02-24 10:00:00",2016,-0.06587155,7,35961,36.54728,7,35961,71.67883,7,35961,"NAN","NAN",44.14626,1,"FALSE",1.961263,0.05135768,7,0.2205146,-0.3054503,1.00106,6.902725,52.33109,-2.253217,0.5200321,1.003474,6.841002,52.38797,-2.256069,0.5199331,0.9969327,5.974142,55.08422,-2.389599,0.5147189,0.9387886,3.995871,84.80036,4.769996,"NAN",-1.665211,1.26895,-0.7970851,0.5662221,0.05592201,0.2669804,7.388879,1.06863,227,2.111932,1.846146,205.5791,28.735,21.42096,4.8834,688.0706,2.286797,4.023678,0.1164465,0.9449234,0.9270067,0,19.54267,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",128.3841,26.43069,-45.39924,-9.281897,1.891584,0.9986111,"NAN","NAN",4.456623,4.944591,2.062199,1.583236,0.03442239,0.03007149,"NAN","NAN","NAN","NAN",12.22756,76.06496,42.9625,118.6415,61.08892,46.2351,266.4175,99.80944,"Kljun et al"
